name	probe_name	x	y	z	hemisphere	impedance	shank_id	location
e000	H2 probe	2.5	1.5	0.988430748179563	n/a	0.0	H2 probe	ALM
e001	H2 probe	2.5	1.5	0.9491656721973674	n/a	0.0	H2 probe	ALM
e002	H2 probe	2.5	1.5	0.952472082706133	n/a	0.0	H2 probe	ALM
e003	H2 probe	2.5	1.5	0.926911455134364	n/a	0.0	H2 probe	ALM
e004	H2 probe	2.5	1.5	0.9004552862044783	n/a	0.0	H2 probe	ALM
e005	H2 probe	2.5	1.5	0.8700732745385676	n/a	0.0	H2 probe	ALM
e006	H2 probe	2.5	1.5	0.7486136064530334	n/a	0.0	H2 probe	ALM
e007	H2 probe	2.5	1.5	0.6992831414605671	n/a	0.0	H2 probe	ALM
e008	H2 probe	2.5	1.5	0.6511788358864747	n/a	0.0	H2 probe	ALM
e009	H2 probe	2.5	1.5	0.5995573130852418	n/a	0.0	H2 probe	ALM
e010	H2 probe	2.5	1.5	0.5718098671519696	n/a	0.0	H2 probe	ALM
e011	H2 probe	2.5	1.5	0.509008641869039	n/a	0.0	H2 probe	ALM
e012	H2 probe	2.5	1.5	0.4998121724127546	n/a	0.0	H2 probe	ALM
e013	H2 probe	2.5	1.5	0.3275365437250518	n/a	0.0	H2 probe	ALM
e014	H2 probe	2.5	1.5	0.9469644570309219	n/a	0.0	H2 probe	ALM
e015	H2 probe	2.5	1.5	0.8728294769972962	n/a	0.0	H2 probe	ALM
e016	H2 probe	2.5	1.5	0.8490078031793459	n/a	0.0	H2 probe	ALM
e017	H2 probe	2.5	1.5	0.8473556062934533	n/a	0.0	H2 probe	ALM
e018	H2 probe	2.5	1.5	0.785830534598893	n/a	0.0	H2 probe	ALM
e019	H2 probe	2.5	1.5	0.7990182049589418	n/a	0.0	H2 probe	ALM
e020	H2 probe	2.5	1.5	0.8009412416716867	n/a	0.0	H2 probe	ALM
e021	H2 probe	2.5	1.5	0.7487831179073956	n/a	0.0	H2 probe	ALM
e022	H2 probe	2.5	1.5	0.6731435634428744	n/a	0.0	H2 probe	ALM
e023	H2 probe	2.5	1.5	0.5981303046760255	n/a	0.0	H2 probe	ALM
e024	H2 probe	2.5	1.5	0.5747670794511412	n/a	0.0	H2 probe	ALM
e025	H2 probe	2.5	1.5	0.549398394036904	n/a	0.0	H2 probe	ALM
e026	H2 probe	2.5	1.5	0.549902510054205	n/a	0.0	H2 probe	ALM
e027	H2 probe	2.5	1.5	0.5513395680037201	n/a	0.0	H2 probe	ALM
e028	H2 probe	2.5	1.5	0.44865322982589706	n/a	0.0	H2 probe	ALM
