name	probe_name	x	y	z	hemisphere	impedance	shank_id	location
e000	H2 probe	2.5	1.5	1.0347815859769578	n/a	0.0	H2 probe	ALM
e001	H2 probe	2.5	1.5	1.021391545344505	n/a	0.0	H2 probe	ALM
e002	H2 probe	2.5	1.5	1.0193020651513225	n/a	0.0	H2 probe	ALM
e003	H2 probe	2.5	1.5	0.9994749809003902	n/a	0.0	H2 probe	ALM
e004	H2 probe	2.5	1.5	1.0030027547383855	n/a	0.0	H2 probe	ALM
e005	H2 probe	2.5	1.5	0.9972741823820518	n/a	0.0	H2 probe	ALM
e006	H2 probe	2.5	1.5	0.9168945901734874	n/a	0.0	H2 probe	ALM
e007	H2 probe	2.5	1.5	0.7685469984490887	n/a	0.0	H2 probe	ALM
e008	H2 probe	2.5	1.5	0.7481683286998099	n/a	0.0	H2 probe	ALM
e009	H2 probe	2.5	1.5	0.721767995690352	n/a	0.0	H2 probe	ALM
e010	H2 probe	2.5	1.5	0.6989311560259927	n/a	0.0	H2 probe	ALM
e011	H2 probe	2.5	1.5	0.6710602389108139	n/a	0.0	H2 probe	ALM
e012	H2 probe	2.5	1.5	0.633005292704556	n/a	0.0	H2 probe	ALM
e013	H2 probe	2.5	1.5	0.5008968655084798	n/a	0.0	H2 probe	ALM
e014	H2 probe	2.5	1.5	0.4461971414665949	n/a	0.0	H2 probe	ALM
e015	H2 probe	2.5	1.5	0.4052712043955346	n/a	0.0	H2 probe	ALM
e016	H2 probe	2.5	1.5	1.0854160041684036	n/a	0.0	H2 probe	ALM
e017	H2 probe	2.5	1.5	1.0834235970485195	n/a	0.0	H2 probe	ALM
e018	H2 probe	2.5	1.5	1.0845417243436846	n/a	0.0	H2 probe	ALM
e019	H2 probe	2.5	1.5	1.0790892150336826	n/a	0.0	H2 probe	ALM
e020	H2 probe	2.5	1.5	1.0445592017727208	n/a	0.0	H2 probe	ALM
e021	H2 probe	2.5	1.5	1.0250815145293932	n/a	0.0	H2 probe	ALM
e022	H2 probe	2.5	1.5	1.0193297053421995	n/a	0.0	H2 probe	ALM
e023	H2 probe	2.5	1.5	0.995879568216151	n/a	0.0	H2 probe	ALM
e024	H2 probe	2.5	1.5	0.979550149765172	n/a	0.0	H2 probe	ALM
e025	H2 probe	2.5	1.5	0.9518589995247941	n/a	0.0	H2 probe	ALM
e026	H2 probe	2.5	1.5	0.9536302269589274	n/a	0.0	H2 probe	ALM
e027	H2 probe	2.5	1.5	0.882839742421494	n/a	0.0	H2 probe	ALM
e028	H2 probe	2.5	1.5	0.8912434778769439	n/a	0.0	H2 probe	ALM
e029	H2 probe	2.5	1.5	0.881056839904297	n/a	0.0	H2 probe	ALM
e030	H2 probe	2.5	1.5	0.8686244061297331	n/a	0.0	H2 probe	ALM
e031	H2 probe	2.5	1.5	0.8512173916262263	n/a	0.0	H2 probe	ALM
e032	H2 probe	2.5	1.5	0.8242530133025745	n/a	0.0	H2 probe	ALM
e033	H2 probe	2.5	1.5	0.7801134321791	n/a	0.0	H2 probe	ALM
e034	H2 probe	2.5	1.5	0.7089433578092326	n/a	0.0	H2 probe	ALM
e035	H2 probe	2.5	1.5	0.698936789677013	n/a	0.0	H2 probe	ALM
e036	H2 probe	2.5	1.5	0.6751335989598821	n/a	0.0	H2 probe	ALM
e037	H2 probe	2.5	1.5	0.6775354247108827	n/a	0.0	H2 probe	ALM
e038	H2 probe	2.5	1.5	0.5982730675309317	n/a	0.0	H2 probe	ALM
e039	H2 probe	2.5	1.5	0.5694378795960513	n/a	0.0	H2 probe	ALM
e040	H2 probe	2.5	1.5	0.5462408360294824	n/a	0.0	H2 probe	ALM
e041	H2 probe	2.5	1.5	0.4317034641642686	n/a	0.0	H2 probe	ALM
e042	H2 probe	2.5	1.5	0.4026032323104854	n/a	0.0	H2 probe	ALM
e043	H2 probe	2.5	1.5	0.3700870784299592	n/a	0.0	H2 probe	ALM
e044	H2 probe	2.5	1.5	1.0342350258939883	n/a	0.0	H2 probe	ALM
e045	H2 probe	2.5	1.5	1.0329820995704584	n/a	0.0	H2 probe	ALM
