session_id	original_session_id
ses-ZY135+20221208+ALM	ses-ZY135_20221208_ALM
ses-ZY135+20221208+Striatum	ses-ZY135_20221208_Striatum
ses-ZY135+20221209+ALM	ses-ZY135_20221209_ALM
ses-ZY135+20221209+Striatum	ses-ZY135_20221209_Striatum
ses-ZY135+20221211+ALM	ses-ZY135_20221211_ALM
ses-ZY135+20221211+Striatum	ses-ZY135_20221211_Striatum
ses-ZY135+20221212+Striatum	ses-ZY135_20221212_Striatum
ses-ZY135+20221213+Striatum	ses-ZY135_20221213_Striatum
ses-ZY135+20221214+Striatum	ses-ZY135_20221214_Striatum
ses-ZY135+20221215+Striatum	ses-ZY135_20221215_Striatum
ses-ZY135+20221216+Striatum	ses-ZY135_20221216_Striatum
ses-ZY135+20221217+Striatum	ses-ZY135_20221217_Striatum
ses-ZY135+20221218+Striatum	ses-ZY135_20221218_Striatum
ses-ZY135+20221219+Striatum	ses-ZY135_20221219_Striatum
ses-ZY135+20221220+Striatum	ses-ZY135_20221220_Striatum
ses-ZY135+20221221+Striatum	ses-ZY135_20221221_Striatum
