name	probe_name	x	y	z	hemisphere	impedance	shank_id	location
e000	H2 probe	2.5	1.5	1.069391233197301	n/a	0.0	H2 probe	ALM
e001	H2 probe	2.5	1.5	1.0525690714512066	n/a	0.0	H2 probe	ALM
e002	H2 probe	2.5	1.5	1.0054989036633253	n/a	0.0	H2 probe	ALM
e003	H2 probe	2.5	1.5	1.0163877815356355	n/a	0.0	H2 probe	ALM
e004	H2 probe	2.5	1.5	0.9637832198873131	n/a	0.0	H2 probe	ALM
e005	H2 probe	2.5	1.5	0.9049895318827255	n/a	0.0	H2 probe	ALM
e006	H2 probe	2.5	1.5	0.8871462683057042	n/a	0.0	H2 probe	ALM
e007	H2 probe	2.5	1.5	0.8708388079212135	n/a	0.0	H2 probe	ALM
e008	H2 probe	2.5	1.5	0.8208425347530534	n/a	0.0	H2 probe	ALM
e009	H2 probe	2.5	1.5	0.7500080222383964	n/a	0.0	H2 probe	ALM
e010	H2 probe	2.5	1.5	0.6225110604568016	n/a	0.0	H2 probe	ALM
e011	H2 probe	2.5	1.5	0.5940318499135809	n/a	0.0	H2 probe	ALM
e012	H2 probe	2.5	1.5	0.4977567866586144	n/a	0.0	H2 probe	ALM
e013	H2 probe	2.5	1.5	0.4864106411971999	n/a	0.0	H2 probe	ALM
e014	H2 probe	2.5	1.5	0.4275994617528549	n/a	0.0	H2 probe	ALM
e015	H2 probe	2.5	1.5	0.43426203702707183	n/a	0.0	H2 probe	ALM
e016	H2 probe	2.5	1.5	0.378050460878602	n/a	0.0	H2 probe	ALM
e017	H2 probe	2.5	1.5	0.3638406558905437	n/a	0.0	H2 probe	ALM
e018	H2 probe	2.5	1.5	1.0678240123109755	n/a	0.0	H2 probe	ALM
e019	H2 probe	2.5	1.5	1.0720495174514277	n/a	0.0	H2 probe	ALM
e020	H2 probe	2.5	1.5	0.9683887206736189	n/a	0.0	H2 probe	ALM
e021	H2 probe	2.5	1.5	0.967989004721119	n/a	0.0	H2 probe	ALM
e022	H2 probe	2.5	1.5	0.9450997008093625	n/a	0.0	H2 probe	ALM
e023	H2 probe	2.5	1.5	0.9088427566518961	n/a	0.0	H2 probe	ALM
e024	H2 probe	2.5	1.5	0.8402379665099908	n/a	0.0	H2 probe	ALM
e025	H2 probe	2.5	1.5	0.7649392822091293	n/a	0.0	H2 probe	ALM
e026	H2 probe	2.5	1.5	0.717807496999684	n/a	0.0	H2 probe	ALM
e027	H2 probe	2.5	1.5	0.6964498323611958	n/a	0.0	H2 probe	ALM
e028	H2 probe	2.5	1.5	0.6857474420319046	n/a	0.0	H2 probe	ALM
e029	H2 probe	2.5	1.5	0.6175148557606451	n/a	0.0	H2 probe	ALM
e030	H2 probe	2.5	1.5	0.583200399433644	n/a	0.0	H2 probe	ALM
e031	H2 probe	2.5	1.5	0.5668927786589446	n/a	0.0	H2 probe	ALM
e032	H2 probe	2.5	1.5	0.5396996123100275	n/a	0.0	H2 probe	ALM
e033	H2 probe	2.5	1.5	0.4965351583883948	n/a	0.0	H2 probe	ALM
e034	H2 probe	2.5	1.5	0.4755233599397347	n/a	0.0	H2 probe	ALM
e035	H2 probe	2.5	1.5	0.4922298465705497	n/a	0.0	H2 probe	ALM
e036	H2 probe	2.5	1.5	0.4375780951474087	n/a	0.0	H2 probe	ALM
e037	H2 probe	2.5	1.5	0.45032219762670567	n/a	0.0	H2 probe	ALM
e038	H2 probe	2.5	1.5	0.41310364816215717	n/a	0.0	H2 probe	ALM
e039	H2 probe	2.5	1.5	0.4080677158824088	n/a	0.0	H2 probe	ALM
